track_id,name,artist,album,popularity,duration_ms,explicit,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,year,mood,tempo_category,image_url,preview_url,external_url
5SuOikwiRyPMVoIQDJUgSV,Comedy,Gen Hoshino,Comedy,73,230666,False,acoustic,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,3.844433333333333,2023,Happy & Calm,Medium,https://i.scdn.co/image/ab67616d0000b27326573d555999566291e3b7a8,,https://open.spotify.com/track/5SuOikwiRyPMVoIQDJUgSV
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,Ben Woodward,Ghost (Acoustic),55,149610,False,acoustic,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,2.4935,2023,Sad & Calm,Slow,https://i.scdn.co/image/ab67616d0000b273935a71a0a54fac53488ea342,,https://open.spotify.com/track/4qPNDBW1i3p13qLCt0Ki3A
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,Ingrid Michaelson;ZAYN,To Begin Again,57,210826,False,acoustic,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,4,3.5137666666666667,2023,Sad & Calm,Slow,https://i.scdn.co/image/ab67616d0000b273ed344bc4daeaf8de2d9333b3,,https://open.spotify.com/track/1iJBSr7s7jYXzM8EGcbK5b
6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),71,201933,False,acoustic,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,3.36555,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b273bb3df70b7531c9a5fb5d9974,,https://open.spotify.com/track/6lfxq3CG4xtTiEg7opyCyx
5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,Hold On,82,198853,False,acoustic,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,3.314216666666667,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273c60473419a4ce96822541181,,https://open.spotify.com/track/5vjLSffimiIP26QG5WcN2K
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Tyrone Wells,Days I Will Remember,58,214240,False,acoustic,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,4,3.570666666666667,2023,Happy & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273440fc1972291253a043a9724,,https://open.spotify.com/track/01MVOl9KtVTNfFiBU9I7dc
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There?,74,229400,False,acoustic,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,3.823333333333333,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b27352744973b0719cda89549292,,https://open.spotify.com/track/6Vc5wAMmXdKIAM7WUoEb7N
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,80,242946,False,acoustic,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,4.0491,2023,Happy & Calm,Fast,https://i.scdn.co/image/ab67616d0000b273125b1a330b6f6100ab19dbed,,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA
0IktbUcnAGrvD03AWnz3Q8,Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,74,189613,False,acoustic,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,3.1602166666666665,2023,Happy & Calm,Fast,https://i.scdn.co/image/ab67616d0000b273125b1a330b6f6100ab19dbed,,https://open.spotify.com/track/0IktbUcnAGrvD03AWnz3Q8
7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,Hunger,56,205594,False,acoustic,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4,3.4265666666666665,2023,Sad & Energetic,Slow,https://i.scdn.co/image/ab67616d0000b273eb8bf85ebc1bf4754d2c5f8b,,https://open.spotify.com/track/7k9GuJYLp2AzqokyEdwEw2
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Zack Tabudlo,Episode,74,244800,False,acoustic,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,4,4.08,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b2730acfd1cc37e7d4eacfa49c48,,https://open.spotify.com/track/4mzP5mHkRvGxdhdGdAH7EJ
5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,Jason Mraz,Love Is a Four Letter Word,69,240165,False,acoustic,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,3,4.00275,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b2733f1ceb305415a090c0885986,,https://open.spotify.com/track/5ivF4eQBqJiVL5IAE9jRyl
4ptDJbJl35d7gQfeNteBwp,Solo,Dan Berk,Solo,52,198712,False,acoustic,0.489,0.314,7,-9.245,0,0.0331,0.749,0.0,0.113,0.607,124.234,4,3.3118666666666665,2023,Happy & Calm,Fast,https://i.scdn.co/image/ab67616d0000b2737b4f44f34acd0e6116832fe6,,https://open.spotify.com/track/4ptDJbJl35d7gQfeNteBwp
0X9MxHR1rTkEHDjp95F2OO,Bad Liar,Anna Hamilton,Bad Liar,62,248448,False,acoustic,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,4,4.1408,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b2732dc1ce83ad1f9100b5da1b48,,https://open.spotify.com/track/0X9MxHR1rTkEHDjp95F2OO
4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,Chord Overstreet;Deepend,Hold On (Remix),56,188133,False,acoustic,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,4,3.13555,2023,Sad & Energetic,Fast,https://i.scdn.co/image/ab67616d0000b27371ba4f92a0079e8be57abff2,,https://open.spotify.com/track/4LbWtBkN82ZRhz9jqzgrb3
1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,Landon Pigg,The Boy Who Never,58,244986,False,acoustic,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3,4.0831,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b27340f1af522b0500805a6dde2b,,https://open.spotify.com/track/1KHdq8NK9QxnGjdXb55NiG
6xKeQgzfjixSUld14qUezm,ily (i love you baby),Andrew Foy;Renee Foy,ily (i love you baby),56,129750,False,acoustic,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4,2.1625,2023,Neutral & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273d42b80c9b6fa4cdf784ac8a5,,https://open.spotify.com/track/6xKeQgzfjixSUld14qUezm
4Yo0igmcoNyat1secaH0OD,At My Worst,Andrew Foy;Renee Foy,At My Worst,54,169728,False,acoustic,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,4,2.8288,2023,Happy & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273716a3a52189a6d90bb951ed5,,https://open.spotify.com/track/4Yo0igmcoNyat1secaH0OD
